,X,Y,Delta,Tetha,Alfa,Beta,Gamma
EEG.AF3,-0.65,2.2,0.219185296,0.342587957,0.06826587,0.205360346,0.143224676
EEG.F7,-1.54,1.8,0.450386875,0.153586864,0.039530291,0.123267461,0.180845549
EEG.F3,-0.85,1.4,0.24458583,0.361363554,0.084684426,0.140782697,0.136368955
EEG.FC5,-1.34,0.7,0.50379343,0.190703332,0.056722826,0.106064439,0.122693169
EEG.T7,-1.88,0,0.285767626,0.205831854,0.074045887,0.091989573,0.297288582
EEG.P7,-1.5,-1.86,0.206142094,0.395131068,0.10748908,0.095332717,0.153676769
EEG.O1,-0.6,-3,0.403753675,0.173033578,0.051726163,0.1292309,0.141774702
EEG.O2,0.6,-3,0.197474659,0.433898898,0.102282658,0.084195285,0.13327584
EEG.P8,1.5,-1.86,0.339118692,0.331662646,0.085611837,0.071510567,0.13559566
EEG.T8,1.88,0,0.348906878,0.27374721,0.106077044,0.083691155,0.103702582
EEG.FC6,1.34,0.7,0.261773339,0.299381534,0.082226072,0.171114238,0.161157225
EEG.F4,0.85,1.4,0.177842339,0.390663176,0.099133488,0.15005468,0.132071711
EEG.F8,1.54,1.8,0.660728965,0.138497828,0.04310923,0.040445548,0.055121819
EEG.AF4,0.65,2.2,0.234198677,0.303705891,0.079132173,0.215818231,0.11747611
