Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1648680180,1648680180,127,0,4259.615234,4267.05127,4230.384766,4288.846191,4255.256348,4216.282227,4238.846191,4263.846191,4309.615234,4271.794922,4291.410156,4191.282227,4456.025879,4231.153809,55,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680180,1648680181,0,0,4260.897461,4281.410156,4229.487305,4291.410156,4257.692383,4213.589844,4229.230957,4254.615234,4298.205078,4273.333496,4288.077148,4187.820313,4458.333496,4230.384766,3606,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,0,0,0.576988,0.33728,-0.628113,0.398499,1.001968,-0.082521,0,-23.926146,-95.854126,3.887999
1648680180,1648680181,1,0,4251.153809,4279.743652,4229.358887,4286.282227,4250.897461,4203.974121,4223.717773,4251.282227,4296.666504,4262.05127,4282.563965,4186.794922,4464.358887,4230.256348,3594,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,2,0,4237.05127,4261.025879,4218.333496,4271.153809,4239.615234,4194.743652,4218.077148,4243.846191,4290.641113,4251.666504,4271.666504,4177.563965,4451.666504,4223.717773,3606,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,3,0,4251.410156,4271.282227,4227.563965,4284.871582,4253.333496,4209.871582,4233.333496,4252.307617,4297.692383,4267.307617,4277.692383,4181.153809,4454.743652,4234.743652,3098,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,4,0,4260.256348,4287.05127,4235.769043,4297.436035,4254.871582,4212.692383,4240.128418,4254.102539,4300.384766,4266.153809,4282.692383,4182.820313,4450.256348,4234.743652,3649,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,1,0,0.577837,0.337097,-0.627625,0.398193,1.011246,-0.081544,0.009277,-25.57107,-96.751358,1.644923
1648680181,1648680181,5,0,4262.05127,4287.179688,4237.94873,4298.846191,4258.077148,4215.256348,4240.512695,4256.410156,4307.820313,4267.179688,4295,4195.384766,4448.461426,4238.974121,3616,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,6,0,4248.461426,4261.282227,4223.077148,4280.128418,4253.333496,4208.205078,4228.846191,4244.871582,4302.94873,4270.512695,4286.410156,4189.743652,4453.974121,4238.589844,3399,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,7,0,4243.077148,4257.692383,4215.512695,4272.05127,4247.563965,4199.615234,4222.179688,4240.897461,4296.922852,4274.871582,4275.641113,4177.307617,4456.538574,4233.333496,3590,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680181,1648680181,8,0,4242.179688,4270.512695,4210.128418,4273.333496,4243.333496,4194.743652,4216.025879,4243.205078,4294.615234,4267.563965,4277.436035,4173.205078,4437.436035,4224.358887,3580,3,73,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,2,0,0.578307,0.338074,-0.627014,0.397644,1.023941,-0.053712,0.001465,-24.823378,-97.05043,2.990768
