title:Eleccion2, start timestamp:1649271260.120676, stop timestamp:1649271281.361800, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:2722      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649271260.120676,1649271260.123052,125.000000,0.000000,4230.256348,4228.846191,4221.282227,4224.871582,4215.769043,4233.717773,4231.666504,4251.282227,4250.512695,4267.820313,4146.794922,4217.436035,4217.948730,4213.974121,3504.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.128482,1649271260.130756,126.000000,0.000000,4222.820313,4231.410156,4215.769043,4226.153809,4210.769043,4233.846191,4235.384766,4245.897461,4245.512695,4240.128418,4140.384766,4208.205078,4215.000000,4206.025879,3599.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.136289,1649271260.138560,127.000000,0.000000,4218.077148,4218.974121,4212.820313,4216.922852,4210.897461,4239.358887,4240.000000,4251.922852,4258.205078,4243.461426,4143.205078,4201.666504,4213.333496,4203.974121,52.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.144095,1649271260.146264,0.000000,0.000000,4231.282227,4218.974121,4223.589844,4220.769043,4220.256348,4246.025879,4247.051270,4271.025879,4279.358887,4270.000000,4157.436035,4213.589844,4224.871582,4218.461426,3527.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.353592,0.617126,-0.385559,0.587769,1.001480,-0.001465,-0.073243,-27.215992,-91.218430,-6.729228
1649271260.151901,1649271260.154068,1.000000,0.000000,4235.769043,4230.128418,4229.615234,4228.461426,4225.897461,4252.051270,4254.743652,4275.897461,4277.436035,4269.230957,4159.358887,4220.384766,4233.077148,4221.282227,3602.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.159708,1649271260.161772,2.000000,0.000000,4227.948730,4232.307617,4221.666504,4228.205078,4218.205078,4251.666504,4250.000000,4260.128418,4264.615234,4262.692383,4152.436035,4210.897461,4226.922852,4213.974121,3538.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.167514,1649271260.169576,3.000000,0.000000,4227.051270,4230.384766,4216.666504,4229.230957,4213.589844,4244.615234,4241.794922,4246.666504,4263.589844,4269.871582,4148.333496,4204.615234,4224.615234,4214.615234,3599.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.175321,1649271260.177280,4.000000,0.000000,4229.102539,4230.384766,4218.589844,4229.358887,4224.102539,4251.538574,4244.358887,4245.000000,4264.358887,4265.128418,4143.077148,4207.051270,4230.000000,4214.615234,3634.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.353617,0.617065,-0.386841,0.586975,0.994156,0.015137,-0.067384,-26.019684,-91.966125,-7.028306
1649271260.183127,1649271260.185184,5.000000,0.000000,4228.974121,4230.256348,4222.948730,4227.436035,4230.384766,4265.256348,4249.230957,4249.102539,4261.538574,4256.410156,4145.384766,4210.897461,4230.769043,4212.948730,3594.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649271260.190933,1649271260.192988,6.000000,0.000000,4228.974121,4230.512695,4226.410156,4228.846191,4222.179688,4257.820313,4247.820313,4245.512695,4262.436035,4260.897461,4150.641113,4211.538574,4227.948730,4213.077148,3578.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
