title:Eleccion2, start timestamp:1649269460.789030, stop timestamp:1649269493.534141, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:4185      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649269460.789030,1649269460.818093,48.000000,0.000000,4262.563965,4234.230957,4251.538574,4276.794922,4255.897461,4240.000000,4249.102539,4259.871582,4243.974121,4253.077148,4302.307617,4263.205078,4363.205078,4283.974121,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.212516,-0.680969,0.135254,-0.687622,0.891127,-0.470710,0.038087,-34.692913,-112.004272,-4.187076
1649269460.796856,1649269460.825818,49.000000,0.000000,4246.410156,4210.384766,4250.128418,4260.256348,4254.743652,4240.641113,4252.051270,4261.794922,4241.538574,4249.102539,4296.153809,4264.487305,4350.641113,4270.000000,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.804682,1649269460.833644,50.000000,0.000000,4242.692383,4207.563965,4244.743652,4257.563965,4249.230957,4234.102539,4250.641113,4260.000000,4242.948730,4259.230957,4296.410156,4259.358887,4352.692383,4261.538574,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.812509,1649269460.841370,51.000000,0.000000,4252.948730,4216.922852,4247.051270,4265.512695,4254.358887,4233.589844,4251.025879,4262.692383,4246.153809,4264.871582,4296.153809,4260.000000,4351.794922,4266.025879,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.820335,1649269460.849195,52.000000,0.000000,4249.871582,4213.205078,4251.538574,4261.922852,4255.256348,4235.384766,4247.692383,4263.461426,4248.846191,4262.948730,4293.205078,4256.922852,4342.820313,4266.153809,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.212121,-0.680786,0.135864,-0.687805,0.901381,-0.466316,0.024903,-34.692913,-113.798737,-5.233844
1649269460.828161,1649269460.856921,53.000000,0.000000,4245.256348,4211.666504,4251.410156,4259.871582,4245.256348,4232.820313,4243.461426,4261.794922,4246.922852,4260.256348,4293.205078,4252.436035,4336.794922,4261.922852,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.835987,1649269460.864747,54.000000,0.000000,4258.717773,4217.563965,4250.256348,4265.256348,4246.153809,4238.077148,4246.794922,4263.461426,4245.769043,4261.666504,4297.051270,4260.512695,4338.846191,4266.025879,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.843814,1649269460.872472,55.000000,0.000000,4261.794922,4218.717773,4248.205078,4265.000000,4258.077148,4244.871582,4248.974121,4264.871582,4251.410156,4264.871582,4296.025879,4261.922852,4334.871582,4260.897461,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.851640,1649269460.880298,56.000000,0.000000,4248.846191,4213.846191,4247.948730,4261.666504,4262.948730,4239.743652,4248.333496,4263.974121,4249.487305,4256.538574,4288.974121,4251.538574,4319.743652,4249.230957,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.211567,-0.680847,0.135803,-0.687927,0.891127,-0.481453,0.027344,-33.347065,-113.350121,-6.579690
1649269460.859466,1649269460.888024,57.000000,0.000000,4252.436035,4214.102539,4250.256348,4261.282227,4258.077148,4233.205078,4255.128418,4267.692383,4242.563965,4247.307617,4287.948730,4255.641113,4317.436035,4257.948730,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.867293,1649269460.895849,58.000000,0.000000,4265.256348,4219.871582,4252.948730,4262.820313,4254.743652,4235.256348,4265.128418,4277.820313,4245.897461,4254.102539,4290.256348,4264.871582,4322.948730,4271.153809,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.875119,1649269460.903575,59.000000,0.000000,4254.743652,4212.051270,4248.461426,4262.179688,4251.794922,4236.282227,4262.051270,4275.512695,4246.153809,4254.487305,4282.436035,4252.948730,4316.153809,4260.769043,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649269460.882945,1649269460.911401,60.000000,0.000000,4241.410156,4204.743652,4243.846191,4258.846191,4243.846191,4233.077148,4252.179688,4264.871582,4240.128418,4246.282227,4277.051270,4241.410156,4311.538574,4252.948730,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.211296,-0.681091,0.135620,-0.687805,0.881849,-0.468269,0.026856,-32.449837,-112.901505,-4.635691
