title:Eleccion1, start timestamp:1649282178.571814, stop timestamp:1649282252.676100, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:9467      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649282178.650170,5.000000,0.000000,4248.333496,4256.538574,4242.436035,4254.615234,4266.922852,4249.615234,4215.384766,4216.282227,4221.410156,4256.282227,4205.128418,4222.948730,4208.589844,4239.230957,1747.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.657996,6.000000,0.000000,4249.871582,4259.743652,4247.179688,4258.461426,4267.563965,4250.897461,4225.000000,4223.717773,4221.410156,4249.743652,4202.563965,4231.282227,4201.025879,4241.922852,3630.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.665722,7.000000,0.000000,4239.743652,4261.282227,4233.589844,4251.794922,4266.666504,4248.205078,4228.333496,4213.077148,4208.461426,4210.897461,4200.512695,4226.025879,4199.102539,4230.512695,3550.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,41.666668,4.000000,3.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,3.000000,1.000000,4.000000,4.000000,3.000000,4.000000,,,,,,,,,,,,
1649282178.673647,8.000000,0.000000,4241.025879,4258.333496,4231.922852,4248.333496,4244.230957,4246.282227,4229.358887,4213.846191,4218.717773,4197.436035,4205.000000,4221.794922,4199.743652,4233.846191,3522.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.463747,0.512024,-0.463196,0.555176,1.006851,-0.034668,0.051759,-26.617838,-96.452278,0.299077
1649282178.681473,9.000000,0.000000,4244.230957,4266.153809,4237.948730,4264.487305,4232.051270,4249.102539,4231.025879,4220.384766,4238.077148,4238.589844,4197.948730,4222.179688,4203.077148,4238.205078,3598.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.689398,10.000000,0.000000,4223.589844,4255.897461,4219.743652,4260.000000,4247.436035,4248.846191,4220.000000,4204.871582,4213.974121,4262.563965,4181.666504,4206.153809,4198.461426,4219.102539,3612.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.697224,11.000000,0.000000,4213.589844,4225.769043,4211.153809,4229.743652,4238.461426,4246.666504,4214.743652,4201.794922,4185.641113,4250.256348,4188.333496,4199.358887,4181.666504,4215.128418,3270.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.705149,12.000000,0.000000,4230.000000,4229.871582,4226.666504,4231.282227,4232.948730,4248.589844,4231.282227,4229.358887,4222.307617,4254.487305,4207.051270,4215.641113,4187.436035,4231.025879,3524.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.463764,0.512085,-0.463257,0.555054,1.012711,-0.029297,0.039063,-28.711376,-97.499046,0.897231
1649282178.713075,13.000000,0.000000,4229.487305,4251.666504,4223.461426,4247.563965,4272.051270,4247.948730,4239.743652,4239.871582,4268.846191,4259.230957,4205.512695,4218.717773,4210.512695,4230.000000,3498.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.720901,14.000000,0.000000,4221.282227,4255.256348,4215.256348,4244.102539,4279.487305,4245.641113,4228.077148,4234.743652,4262.563965,4247.820313,4205.641113,4213.333496,4223.589844,4226.410156,3612.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
