,X,Y,Delta,Tetha,Alfa,Beta,Gamma
EEG.AF3,-0.65,2.2,0.504912304,0.185855171,0.058730012,0.127611946,0.110664238
EEG.F7,-1.54,1.8,0.325008128,0.420960218,0.081293001,0.088644249,0.087796508
EEG.F3,-0.85,1.4,0.70230044,0.10108785,0.041966028,0.069180404,0.078440832
EEG.FC5,-1.34,0.7,0.681327869,0.215349768,0.034323177,0.039823583,0.027244157
EEG.T7,-1.88,0,0.54810065,0.202918382,0.048509517,0.068223951,0.143208792
EEG.P7,-1.5,-1.86,0.576037237,0.231162712,0.043761384,0.084043718,0.059468357
EEG.O1,-0.6,-3,0.682667423,0.161225954,0.030752904,0.058947865,0.060880002
EEG.O2,0.6,-3,0.652673939,0.144343375,0.034736315,0.070469425,0.093188369
EEG.P8,1.5,-1.86,0.528459477,0.187451707,0.045235927,0.103764828,0.131079666
EEG.T8,1.88,0,0.519651154,0.232819933,0.054597671,0.08896904,0.101437214
EEG.FC6,1.34,0.7,0.634546627,0.184774411,0.064955251,0.099694992,0.045302006
EEG.F4,0.85,1.4,0.515057456,0.191044359,0.064194482,0.105534935,0.106603153
EEG.F8,1.54,1.8,0.270545713,0.473455963,0.104604454,0.092046752,0.051437438
EEG.AF4,0.65,2.2,0.612113873,0.11381418,0.074991325,0.111347357,0.086439465
